client_id,symbol,security_name,asset_class,quantity,purchase_date,Purchase Price,sector
CLT-001,VTI,Vanguard Total Stock Market ETF,Equity ETF,3500,2024-01-16, $121.06 ,Broad Market
CLT-001,BND,Vanguard Total Bond Market ETF,Bond ETF,8200,2019-06-10, $82.26 ,Government Bonds
CLT-001,VXUS,Vanguard Total International Stock ETF,International Equity ETF,2800,2021-01-20, $62.91 ,International
CLT-001,VYM,Vanguard High Dividend Yield ETF,Dividend ETF,4100,2018-09-05, $87.15 ,Dividend Stocks
CLT-001,VTEB,Vanguard Tax-Exempt Bond ETF,Municipal Bond ETF,3600,2022-02-14, $53.13 ,Municipal Bonds
CLT-001,CASH,Money Market Fund,Cash Equivalent,160050,2024-01-16, $50.77 ,Cash
CLT-002,QQQ,Invesco QQQ Trust ETF,Technology ETF,850,2021-11-08, $398.57 ,Technology
CLT-002,NVDA,NVIDIA Corporation,Individual Stock,200,2024-01-16, $55.02 ,Semiconductors
CLT-002,MSFT,Microsoft Corporation,Individual Stock,180,2020-04-20, $176.63 ,Technology
CLT-002,ARKK,ARK Innovation ETF,Growth ETF,1200,2021-02-10, $157.20 ,Innovation
CLT-002,VEA,Vanguard FTSE Developed Markets ETF,International ETF,1800,2023-01-12, $44.53 ,International
CLT-002,TSLA,Tesla Inc,Individual Stock,85,2023-05-25, $186.54 ,Electric Vehicles
CLT-002,CASH,High-Yield Savings,Cash Equivalent,55429,2024-03-01, $50.72 ,Cash
CLT-003,SPY,SPDR S&P 500 ETF Trust,Large Cap ETF,650,2019-08-14, $288.07 ,Broad Market
CLT-003,AGG,iShares Core U.S. Aggregate Bond ETF,Bond ETF,1150,2020-05-18, $116.97 ,Investment Grade Bonds
CLT-003,EFA,iShares MSCI EAFE ETF,International ETF,420,2022-06-30, $61.71 ,International Developed
CLT-003,VWO,Vanguard FTSE Emerging Markets ETF,Emerging Markets ETF,580,2021-09-22, $50.52 ,Emerging Markets
